iter	Logloss
0	0.6889857162
1	0.685031267
2	0.6816341756
3	0.6779769586
4	0.6746338129
5	0.6712807089
6	0.6677053606
7	0.6649929104
8	0.6612584172
9	0.6578397303
10	0.6543879987
11	0.6508652854
12	0.6476255269
13	0.6438036697
14	0.6404396562
15	0.6374118874
16	0.6334952485
17	0.6301794356
18	0.6280013654
19	0.6245922542
20	0.6218499043
21	0.6189209802
22	0.6159549293
23	0.6145321322
24	0.6116414223
25	0.6090969296
26	0.6057172253
27	0.602975154
28	0.5999167646
29	0.5965924755
30	0.5939353983
31	0.5917362896
32	0.5893292016
33	0.5871569297
34	0.5847548263
35	0.582368054
36	0.5796296773
37	0.5776761991
38	0.5753752684
39	0.5729008642
40	0.5718599712
41	0.5693579567
42	0.5674014068
43	0.56483305
44	0.5625107153
45	0.5602783828
46	0.5581127881
47	0.5568952878
48	0.5549828639
49	0.5533192391
50	0.5516071635
51	0.5496690808
52	0.5472398472
53	0.5450861391
54	0.5434243586
55	0.5414037908
56	0.5396202759
57	0.5378355067
58	0.5363847499
59	0.5346334295
60	0.5324538739
61	0.5305302882
62	0.528935389
63	0.5272548802
64	0.5255628872
65	0.5235271257
66	0.5221126063
67	0.5205912833
68	0.5186486902
69	0.5169455276
70	0.5154458937
71	0.5136074496
72	0.5120400689
73	0.5106787816
74	0.5090672611
75	0.5073594295
76	0.5061206685
77	0.504343202
78	0.5030857955
79	0.5023040413
80	0.5007307257
81	0.4993966582
82	0.4981378811
83	0.4967554784
84	0.4954268292
85	0.4941453742
86	0.4927403972
87	0.4913449737
88	0.4900145309
89	0.4886745332
90	0.4875155066
91	0.4861622463
92	0.4846594619
93	0.4834249128
94	0.4820892644
95	0.4814296538
96	0.4800731518
97	0.4789295655
98	0.4778988665
99	0.4769197703
100	0.475956204
101	0.4746030794
102	0.4732395942
103	0.4718838314
104	0.4705846924
105	0.469330608
106	0.4683200661
107	0.467247405
108	0.4661175562
109	0.4648934506
110	0.4636736171
111	0.462039758
112	0.4614055898
113	0.4607837871
114	0.459740868
115	0.4588733133
116	0.4579099031
117	0.4570677597
118	0.4563251517
119	0.4555620609
120	0.4545278486
121	0.4536857772
122	0.4528169601
123	0.451957193
124	0.4510910609
125	0.4501618139
126	0.449292061
127	0.448414604
128	0.4473995459
129	0.446575994
130	0.4457040249
131	0.4450457908
132	0.4443120802
133	0.4435412441
134	0.4427570498
135	0.4422586335
136	0.4414501179
137	0.4404598511
138	0.4396512242
139	0.4388914313
140	0.438122516
141	0.4371639398
142	0.4362769848
143	0.435453923
144	0.4347908711
145	0.433894169
146	0.4330941039
147	0.4320096979
148	0.4312421394
149	0.4304883445
150	0.4296890813
151	0.4289982662
152	0.4283765571
153	0.4275273527
154	0.4268756157
155	0.4261145797
156	0.4252785919
157	0.4240396096
158	0.4234008357
159	0.4227540435
160	0.4220570491
161	0.4214873677
162	0.4206528313
163	0.4199309381
164	0.4191602265
