iter	Passed	Remaining
0	1	1890
1	4	2074
2	7	2466
3	9	2350
4	11	2267
5	13	2164
6	15	2151
7	17	2151
8	19	2111
9	20	2043
10	23	2105
11	25	2091
12	27	2071
13	28	2036
14	30	1994
15	31	1954
16	33	1919
17	34	1885
18	35	1853
19	38	1896
20	40	1893
21	42	1893
22	44	1878
23	45	1840
24	47	1849
25	48	1827
26	50	1826
27	52	1829
28	55	1855
29	58	1902
30	61	1921
31	64	1965
32	68	2013
33	72	2051
34	75	2073
35	78	2093
36	80	2098
37	87	2206
38	91	2250
39	93	2236
40	97	2284
41	99	2274
42	112	2500
43	115	2516
44	120	2547
45	122	2540
46	125	2550
47	128	2545
48	129	2519
49	131	2491
50	132	2470
51	134	2448
52	135	2429
53	137	2407
54	139	2389
55	141	2383
56	143	2368
57	145	2367
58	147	2350
59	149	2349
60	152	2342
61	155	2347
62	159	2373
63	162	2370
64	166	2389
65	168	2389
66	187	2616
67	190	2615
68	192	2602
69	194	2586
70	196	2574
71	199	2570
72	202	2568
73	204	2556
74	207	2559
75	209	2548
76	211	2534
77	213	2521
78	214	2504
79	216	2485
80	217	2465
81	218	2446
82	220	2435
83	222	2422
84	223	2406
85	225	2393
86	226	2380
87	230	2384
88	233	2384
89	235	2379
90	238	2379
91	240	2373
92	242	2365
93	245	2364
94	248	2364
95	250	2355
96	253	2356
97	257	2370
98	268	2439
99	270	2437
100	273	2438
101	276	2434
102	278	2429
103	280	2419
104	282	2407
105	284	2396
106	286	2387
107	288	2386
108	292	2391
109	295	2389
110	297	2384
111	299	2372
112	300	2360
113	301	2346
114	303	2333
115	304	2320
116	305	2308
117	307	2298
118	309	2291
119	311	2282
120	313	2275
121	314	2266
122	316	2255
123	317	2244
124	319	2233
125	320	2225
126	322	2218
127	324	2213
128	327	2209
129	329	2207
130	331	2200
131	333	2191
132	334	2181
133	336	2172
134	337	2163
135	340	2160
136	341	2153
137	343	2145
138	345	2140
139	347	2135
140	349	2126
141	350	2118
142	351	2109
143	353	2101
144	355	2093
145	356	2087
146	358	2081
147	360	2073
148	361	2064
149	363	2057
150	364	2049
151	365	2040
152	367	2033
153	369	2031
154	372	2030
155	374	2028
156	377	2024
157	378	2018
158	380	2013
159	382	2009
160	384	2003
161	386	1998
162	388	1992
163	390	1989
164	392	1987
165	394	1983
166	396	1977
167	398	1973
168	400	1971
169	404	1973
170	408	1978
171	410	1978
172	413	1976
173	415	1973
174	418	1973
175	420	1970
176	422	1966
177	424	1962
178	427	1959
179	430	1960
180	433	1960
181	435	1958
182	437	1952
183	439	1947
184	441	1943
185	442	1938
186	444	1934
187	446	1929
188	448	1926
189	451	1924
190	453	1921
191	455	1916
192	457	1912
193	459	1908
194	461	1903
195	463	1901
196	467	1907
197	469	1902
198	471	1899
199	473	1893
200	474	1887
201	476	1881
202	477	1875
203	479	1869
204	481	1866
205	483	1861
206	484	1855
207	485	1850
208	487	1845
209	489	1840
210	493	1845
211	495	1843
212	498	1843
213	501	1841
214	505	1844
215	508	1845
216	511	1844
217	513	1842
218	517	1846
219	520	1845
220	522	1841
221	525	1842
222	527	1838
223	530	1837
224	534	1840
225	536	1837
226	538	1833
227	540	1830
228	542	1827
229	546	1830
230	549	1828
231	551	1824
232	553	1820
233	555	1816
234	556	1811
235	557	1805
236	558	1799
237	560	1795
238	562	1790
239	563	1785
240	565	1780
241	567	1776
242	568	1771
243	570	1767
244	572	1764
245	574	1761
246	577	1760
247	580	1759
248	583	1760
249	586	1760
250	589	1758
251	591	1755
252	594	1756
253	597	1754
254	599	1751
255	602	1750
256	604	1747
257	606	1742
258	608	1742
259	611	1739
260	613	1736
261	615	1734
262	618	1733
263	620	1729
264	622	1726
265	625	1725
266	628	1724
267	630	1721
268	632	1718
269	634	1715
270	636	1711
271	638	1707
272	640	1704
273	642	1701
274	643	1696
275	644	1691
276	646	1688
277	648	1684
278	650	1679
279	651	1674
280	652	1670
281	655	1669
282	658	1668
283	660	1666
284	663	1664
285	666	1662
286	671	1669
287	675	1669
288	679	1672
289	682	1670
290	684	1668
291	687	1668
292	690	1665
293	692	1662
294	694	1659
295	696	1656
296	698	1653
297	700	1650
298	704	1652
299	707	1649
300	709	1646
301	711	1643
302	713	1640
303	715	1637
304	717	1634
305	719	1631
306	721	1628
307	723	1626
308	725	1622
309	727	1618
310	728	1613
311	729	1608
312	730	1604
313	732	1600
314	733	1595
315	736	1593
316	739	1592
317	742	1592
318	744	1589
319	746	1587
320	749	1585
321	752	1583
322	756	1584
323	759	1584
324	778	1616
325	782	1617
326	785	1615
327	788	1615
328	791	1613
329	793	1610
330	795	1607
331	798	1605
332	801	1604
333	803	1601
334	807	1602
335	810	1601
336	812	1598
337	815	1596
338	816	1592
339	818	1588
